strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate
buy_and_hold,SPY,full_sample,8338,1,26.586447,0.105458,0.185981,0.567038,-0.551947,0.540242
sma_trend_following,SPY,full_sample,8338,174,4.333575,0.051896,0.118738,0.437063,-0.395225,0.539169
rsi_mean_reversion,SPY,full_sample,8338,542,2.211627,0.035893,0.100029,0.358825,-0.233353,0.558926
breakout_20d,SPY,full_sample,8338,1648,-0.505612,-0.021065,0.047836,-0.440364,-0.545903,0.508646
buy_and_hold,SPY,dotcom_bear,638,1,-0.475412,-0.224945,0.235641,-0.954607,-0.47515,0.480377
sma_trend_following,SPY,dotcom_bear,638,16,-0.314111,-0.138366,0.117564,-1.176944,-0.313768,0.473251
rsi_mean_reversion,SPY,dotcom_bear,638,74,-0.015922,-0.00632,0.147741,-0.042775,-0.177844,0.5
breakout_20d,SPY,dotcom_bear,638,70,-0.07288,-0.029447,0.047691,-0.617457,-0.072417,0.385965
buy_and_hold,SPY,post_dotcom_bull,1258,1,1.119967,0.162437,0.134447,1.208188,-0.141764,0.559268
sma_trend_following,SPY,post_dotcom_bull,1258,27,0.46693,0.079779,0.100339,0.795096,-0.122442,0.552661
rsi_mean_reversion,SPY,post_dotcom_bull,1258,70,0.134059,0.025521,0.046291,0.55132,-0.050671,0.575472
breakout_20d,SPY,post_dotcom_bull,1258,257,-0.266898,-0.060298,0.044926,-1.342158,-0.266898,0.498039
buy_and_hold,SPY,gfc_bear,355,1,-0.551406,-0.433937,0.380856,-1.139373,-0.551504,0.488701
sma_trend_following,SPY,gfc_bear,355,10,-0.231655,-0.170606,0.132352,-1.289028,-0.25022,0.528302
rsi_mean_reversion,SPY,gfc_bear,355,33,-0.130406,-0.094427,0.241529,-0.390955,-0.213846,0.47619
breakout_20d,SPY,gfc_bear,355,28,-0.123128,-0.089054,0.046402,-1.919185,-0.123128,0.391304
buy_and_hold,SPY,post_gfc_bull,2756,1,4.855725,0.175399,0.153889,1.139775,-0.193487,0.558258
sma_trend_following,SPY,post_gfc_bull,2756,57,1.263027,0.077536,0.11566,0.670375,-0.250843,0.551091
rsi_mean_reversion,SPY,post_gfc_bull,2756,162,0.618425,0.045006,0.074332,0.605476,-0.119011,0.597403
breakout_20d,SPY,post_gfc_bull,2756,593,-0.129351,-0.012586,0.045584,-0.276097,-0.207055,0.541796
buy_and_hold,SPY,covid_crash,23,1,-0.334789,-0.988512,0.75039,-1.317332,-0.334456,0.272727
sma_trend_following,SPY,covid_crash,23,2,-0.109852,-0.720566,0.263653,-2.733008,-0.12077,0.125
rsi_mean_reversion,SPY,covid_crash,23,3,-0.213278,-0.927796,0.732869,-1.265978,-0.233353,0.3125
breakout_20d,SPY,covid_crash,23,0,0.0,0.0,0.0,0.0,0.0,0.0
buy_and_hold,SPY,covid_rebound,449,1,1.003593,0.477032,0.183588,2.598385,-0.094395,0.589286
sma_trend_following,SPY,covid_rebound,449,5,0.55651,0.281872,0.147083,1.916417,-0.101303,0.589744
rsi_mean_reversion,SPY,covid_rebound,449,20,0.110849,0.060776,0.043411,1.400016,-0.024696,0.75
breakout_20d,SPY,covid_rebound,449,128,-0.034569,-0.019551,0.065447,-0.298734,-0.08303,0.525926
buy_and_hold,SPY,inflation_bear_2022,196,1,-0.245354,-0.303674,0.240946,-1.260341,-0.244977,0.430769
sma_trend_following,SPY,inflation_bear_2022,196,6,-0.217968,-0.271018,0.128632,-2.106927,-0.217577,0.397059
rsi_mean_reversion,SPY,inflation_bear_2022,196,30,0.107149,0.13982,0.121438,1.151371,-0.072508,0.5
breakout_20d,SPY,inflation_bear_2022,196,18,0.02513,0.032425,0.038531,0.841541,-0.016509,0.5
buy_and_hold,SPY,ai_bull_2023_2024,502,1,0.581638,0.258781,0.127938,2.02271,-0.099756,0.57485
sma_trend_following,SPY,ai_bull_2023_2024,502,9,0.254917,0.120738,0.106872,1.129744,-0.084059,0.556452
rsi_mean_reversion,SPY,ai_bull_2023_2024,502,28,0.050982,0.025275,0.053654,0.471085,-0.061813,0.529412
breakout_20d,SPY,ai_bull_2023_2024,502,120,0.011251,0.005632,0.048421,0.116313,-0.074321,0.53125
buy_and_hold,SPY,chop_2015_2016,198,1,-0.11867,-0.148517,0.173423,-0.856383,-0.130254,0.472081
sma_trend_following,SPY,chop_2015_2016,198,6,-0.011875,-0.01509,0.083937,-0.179774,-0.046408,0.445652
rsi_mean_reversion,SPY,chop_2015_2016,198,18,0.023131,0.029532,0.106846,0.276395,-0.08235,0.615385
breakout_20d,SPY,chop_2015_2016,198,18,-0.00178,-0.002265,0.022731,-0.099645,-0.016444,0.55
buy_and_hold,SPY,chop_2018,230,1,-0.167182,-0.181629,0.166804,-1.088873,-0.193487,0.50655
sma_trend_following,SPY,chop_2018,230,4,-0.015831,-0.017332,0.105532,-0.164237,-0.101016,0.539062
rsi_mean_reversion,SPY,chop_2018,230,15,-0.050411,-0.055098,0.099275,-0.555,-0.119011,0.5
breakout_20d,SPY,chop_2018,230,30,-0.003834,-0.0042,0.024786,-0.169436,-0.017949,0.516129
buy_and_hold,QQQ,full_sample,6796,1,12.913281,0.102552,0.269745,0.380181,-0.829663,0.543488
sma_trend_following,QQQ,full_sample,6796,130,5.7949,0.073638,0.171447,0.429508,-0.536438,0.549955
rsi_mean_reversion,QQQ,full_sample,6796,474,1.966317,0.041142,0.139951,0.293977,-0.362649,0.534005
breakout_20d,QQQ,full_sample,6796,1210,-0.275497,-0.011879,0.076752,-0.154768,-0.618195,0.557425
buy_and_hold,QQQ,dotcom_bear,638,1,-0.829491,-0.502776,0.522749,-0.961791,-0.829663,0.464678
