strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate
regime_defensive_rotation,PORTFOLIO,full_sample,5363,714,11.060042,0.124116,0.134126,0.925368,-0.259944,0.551101
dual_momentum_rotation,PORTFOLIO,full_sample,5363,998,9.493318,0.116789,0.209041,0.558691,-0.513848,0.537065
top2_relative_strength_rotation,PORTFOLIO,full_sample,5363,1706,16.389011,0.143612,0.154631,0.928742,-0.265858,0.549788
regime_defensive_rotation_2x,PORTFOLIO,full_sample,5363,714,97.848833,0.240912,0.268252,0.898081,-0.472999,0.551101
dual_momentum_rotation_2x,PORTFOLIO,full_sample,5363,998,42.072313,0.193407,0.418082,0.462606,-0.79876,0.537065
top2_relative_strength_rotation_2x,PORTFOLIO,full_sample,5363,1706,180.332084,0.276799,0.309262,0.895032,-0.487494,0.549788
regime_defensive_rotation_3x,PORTFOLIO,full_sample,5363,714,547.92575,0.345011,0.402378,0.857431,-0.639,0.551101
dual_momentum_rotation_3x,PORTFOLIO,full_sample,5363,998,66.943897,0.219243,0.627123,0.349601,-0.929686,0.537065
regime_defensive_rotation,PORTFOLIO,covid_crash,23,1,-0.153508,-0.838936,0.304048,-2.759216,-0.166103,0.409091
dual_momentum_rotation,PORTFOLIO,covid_crash,23,1,0.043327,0.591555,0.585898,1.009655,-0.157287,0.545455
top2_relative_strength_rotation,PORTFOLIO,covid_crash,23,6,0.0129,0.150769,0.511711,0.294636,-0.152512,0.428571
regime_defensive_rotation_2x,PORTFOLIO,covid_crash,23,1,-0.290628,-0.976767,0.608097,-1.606269,-0.311484,0.409091
dual_momentum_rotation_2x,PORTFOLIO,covid_crash,23,1,0.054937,0.796729,1.171797,0.679921,-0.302065,0.545455
top2_relative_strength_rotation_2x,PORTFOLIO,covid_crash,23,6,0.001917,0.021202,1.023421,0.020717,-0.292659,0.428571
regime_defensive_rotation_3x,PORTFOLIO,covid_crash,23,1,-0.411819,-0.997017,0.912145,-1.093046,-0.437449,0.409091
dual_momentum_rotation_3x,PORTFOLIO,covid_crash,23,1,0.033316,0.432013,1.757695,0.245784,-0.432701,0.545455
regime_defensive_rotation,PORTFOLIO,covid_rebound,449,72,0.490929,0.251274,0.181343,1.38563,-0.131618,0.569196
dual_momentum_rotation,PORTFOLIO,covid_rebound,449,78,0.919077,0.441733,0.302017,1.462608,-0.192476,0.560268
top2_relative_strength_rotation,PORTFOLIO,covid_rebound,449,150,0.777492,0.381032,0.210074,1.813805,-0.127251,0.56982
regime_defensive_rotation_2x,PORTFOLIO,covid_rebound,449,72,1.094229,0.514168,0.362685,1.41767,-0.250965,0.569196
dual_momentum_rotation_2x,PORTFOLIO,covid_rebound,449,78,2.135172,0.899001,0.604035,1.488327,-0.354568,0.560268
top2_relative_strength_rotation_2x,PORTFOLIO,covid_rebound,449,150,1.917999,0.824012,0.420147,1.961247,-0.244715,0.56982
regime_defensive_rotation_3x,PORTFOLIO,covid_rebound,449,72,1.768804,0.771068,0.544028,1.417333,-0.358465,0.569196
dual_momentum_rotation_3x,PORTFOLIO,covid_rebound,449,78,3.360988,1.285416,0.906052,1.4187,-0.489614,0.560268
regime_defensive_rotation,PORTFOLIO,inflation_bear_2022,196,16,-0.150967,-0.189754,0.158531,-1.196951,-0.1778,0.471795
dual_momentum_rotation,PORTFOLIO,inflation_bear_2022,196,31,0.118107,0.154345,0.292173,0.528266,-0.229447,0.476923
top2_relative_strength_rotation,PORTFOLIO,inflation_bear_2022,196,57,-0.017593,-0.022563,0.219577,-0.102757,-0.207201,0.5
