strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,is_baseline,baseline_total_return,excess_total_return,baseline_annualized_return,excess_annualized_return,baseline_sharpe,excess_sharpe,baseline_max_drawdown,excess_max_drawdown
buy_and_hold,SPY,full_sample,8340,1,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
buy_and_hold,SPY,gfc_bear,355,1,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,True,-0.551182,0.0,-0.433736,0.0,-1.138814,0.0,-0.551504,0.0
buy_and_hold,SPY,covid_crash,23,1,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,True,-0.334456,0.0,-0.988449,0.0,-1.317241,0.0,-0.334456,0.0
buy_and_hold,SPY,inflation_bear_2022,196,1,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,True,-0.244977,0.0,-0.303226,0.0,-1.258459,0.0,-0.244977,0.0
buy_and_hold,SPY,ai_bull_2023_2024,502,1,0.58243,0.259097,0.127935,2.025228,-0.099756,0.57485,True,0.58243,0.0,0.259097,0.0,2.025228,0.0,-0.099756,0.0
buy_and_hold,QQQ,full_sample,6798,1,12.793183,0.102166,0.269722,0.378782,-0.829663,0.543475,True,12.793183,0.0,0.102166,0.0,0.378782,0.0,-0.829663,0.0
buy_and_hold,QQQ,gfc_bear,355,1,-0.51662,-0.403116,0.372999,-1.080745,-0.534009,0.454802,True,-0.51662,0.0,-0.403116,0.0,-1.080745,0.0,-0.534009,0.0
buy_and_hold,QQQ,covid_crash,23,1,-0.272434,-0.969338,0.783783,-1.236743,-0.278923,0.409091,True,-0.272434,0.0,-0.969338,0.0,-1.236743,0.0,-0.278923,0.0
buy_and_hold,QQQ,inflation_bear_2022,196,1,-0.342856,-0.417141,0.321559,-1.297246,-0.342856,0.441026,True,-0.342856,0.0,-0.417141,0.0,-1.297246,0.0,-0.342856,0.0
buy_and_hold,QQQ,ai_bull_2023_2024,502,1,0.957852,0.401107,0.179038,2.240341,-0.135593,0.578842,True,0.957852,0.0,0.401107,0.0,2.240341,0.0,-0.135593,0.0
buy_and_hold,TLT,full_sample,5947,1,1.389667,0.037604,0.143395,0.262243,-0.483506,0.520854,True,1.389667,0.0,0.037604,0.0,0.262243,0.0,-0.483506,0.0
buy_and_hold,TLT,gfc_bear,355,1,0.25,0.171635,0.176353,0.973247,-0.161916,0.508475,True,0.25,0.0,0.171635,0.0,0.973247,0.0,-0.161916,0.0
buy_and_hold,TLT,covid_crash,23,1,0.133431,2.944399,0.564436,5.216536,-0.157287,0.636364,True,0.133431,0.0,2.944399,0.0,5.216536,0.0,-0.157287,0.0
buy_and_hold,TLT,inflation_bear_2022,196,1,-0.293328,-0.360063,0.194814,-1.848244,-0.299839,0.466667,True,-0.293328,0.0,-0.360063,0.0,-1.848244,0.0,-0.299839,0.0
buy_and_hold,TLT,ai_bull_2023_2024,502,1,-0.072825,-0.037246,0.163498,-0.227805,-0.224456,0.500998,True,-0.072825,0.0,-0.037246,0.0,-0.227805,0.0,-0.224456,0.0
buy_and_hold,GLD,full_sample,5365,1,9.021181,0.114331,0.180095,0.634839,-0.45555,0.532252,True,9.021181,0.0,0.114331,0.0,0.634839,0.0,-0.45555,0.0
buy_and_hold,GLD,gfc_bear,355,1,0.234597,0.161368,0.309196,0.521896,-0.294141,0.519774,True,0.234597,0.0,0.161368,0.0,0.521896,0.0,-0.294141,0.0
buy_and_hold,GLD,covid_crash,23,1,-0.040089,-0.361278,0.324953,-1.111783,-0.125277,0.590909,True,-0.040089,0.0,-0.361278,0.0,-1.111783,0.0,-0.125277,0.0
buy_and_hold,GLD,inflation_bear_2022,196,1,-0.073308,-0.093249,0.147046,-0.634148,-0.210328,0.502564,True,-0.073308,0.0,-0.093249,0.0,-0.634148,0.0,-0.210328,0.0
buy_and_hold,GLD,ai_bull_2023_2024,502,1,0.415468,0.190558,0.141958,1.342359,-0.113474,0.536926,True,0.415468,0.0,0.190558,0.0,1.342359,0.0,-0.113474,0.0
buy_and_hold,XLE,full_sample,6850,1,9.126516,0.088903,0.286336,0.310485,-0.712477,0.51263,True,9.126516,0.0,0.088903,0.0,0.310485,0.0,-0.712477,0.0
buy_and_hold,XLE,gfc_bear,355,1,-0.48561,-0.376181,0.562017,-0.669341,-0.573745,0.522599,True,-0.48561,0.0,-0.376181,0.0,-0.669341,0.0,-0.573745,0.0
buy_and_hold,XLE,covid_crash,23,1,-0.560207,-0.999877,1.095253,-0.912919,-0.562088,0.318182,True,-0.560207,0.0,-0.999877,0.0,-0.912919,0.0,-0.562088,0.0
buy_and_hold,XLE,inflation_bear_2022,196,1,0.444937,0.605167,0.363986,1.66261,-0.260406,0.548718,True,0.444937,0.0,0.605167,0.0,1.66261,0.0,-0.260406,0.0
buy_and_hold,XLE,ai_bull_2023_2024,502,1,0.087071,0.0428,0.203422,0.210401,-0.173324,0.530938,True,0.087071,0.0,0.0428,0.0,0.210401,0.0,-0.173324,0.0
buy_and_hold,XLU,full_sample,6850,1,6.960818,0.079306,0.192864,0.411203,-0.523207,0.517886,True,6.960818,0.0,0.079306,0.0,0.411203,0.0,-0.523207,0.0
buy_and_hold,XLU,gfc_bear,355,1,-0.420907,-0.321445,0.332652,-0.96631,-0.464957,0.474576,True,-0.420907,0.0,-0.321445,0.0,-0.96631,0.0,-0.464957,0.0
buy_and_hold,XLU,covid_crash,23,1,-0.355822,-0.991921,0.850704,-1.166,-0.355822,0.227273,True,-0.355822,0.0,-0.991921,0.0,-1.166,0.0,-0.355822,0.0
buy_and_hold,XLU,inflation_bear_2022,196,1,-0.113165,-0.14308,0.209494,-0.682976,-0.207182,0.512821,True,-0.113165,0.0,-0.14308,0.0,-0.682976,0.0,-0.207182,0.0
buy_and_hold,XLU,ai_bull_2023_2024,502,1,0.14468,0.070185,0.166215,0.422254,-0.201765,0.516966,True,0.14468,0.0,0.070185,0.0,0.422254,0.0,-0.201765,0.0
buy_and_hold,EWA,full_sample,7549,1,8.302326,0.077292,0.262277,0.294696,-0.669565,0.491123,True,8.302326,0.0,0.077292,0.0,0.294696,0.0,-0.669565,0.0
buy_and_hold,EWA,gfc_bear,355,1,-0.644163,-0.519768,0.55497,-0.936568,-0.669565,0.474576,True,-0.644163,0.0,-0.519768,0.0,-0.936568,0.0,-0.669565,0.0
buy_and_hold,EWA,covid_crash,23,1,-0.440483,-0.998275,1.091467,-0.914618,-0.440483,0.272727,True,-0.440483,0.0,-0.998275,0.0,-0.914618,0.0,-0.440483,0.0
buy_and_hold,EWA,inflation_bear_2022,196,1,-0.186178,-0.232698,0.238932,-0.973906,-0.247064,0.446154,True,-0.186178,0.0,-0.232698,0.0,-0.973906,0.0,-0.247064,0.0
