strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
canary_daa_2x,6.6434546,0.015770600000000003,0.201259,0.1222642,-0.22383060000000002,0.5308374,44.4,5.303023,0.28819340000000004,0.35016060000000004,0.13269739999999997,False
canary_daa_lite,3.1085076000000003,-0.012170199999999997,0.1805498,0.07517419999999997,-0.2163132,0.5308374,44.4,1.768076,0.2602526,0.3030706,0.14021479999999997,False
buy_and_hold,2.0386397142857144,-0.09762971428571429,0.35839728571428575,-0.012317857142857162,-0.3616464857142857,0.4830996,1.0,0.0,0.0,0.0,0.0,True
canary_daa_vol_target,4.2396996,-0.04422559999999999,0.19057819999999998,-0.032575400000000074,-0.2286102,0.5295208,448.0,2.8992679999999997,0.22819720000000002,0.195321,0.1279178,False
gtaa_5_faber,0.6824688,-0.035943199999999995,0.1064244,-0.12102359999999998,-0.0853682,0.5070494,31.4,-0.6579628,0.2364796,0.1068728000000001,0.2711598,False
buy_hold_spy,1.3404316,-0.2724228,0.3379332,-0.22789640000000003,-0.356528,0.463551,0.0,0.0,0.0,0.0,0.0,True
equal_weight_buy_hold,1.4643804,-0.22878720000000002,0.25656460000000003,-0.277338,-0.26200199999999996,0.47366739999999996,0.0,0.12394880000000001,0.043635600000000004,-0.04944159999999993,0.094526,True
spy_gld_switch,2.1459886,-0.1214758,0.19141339999999998,-0.29022040000000005,-0.1991512,0.5027198,17.6,0.805557,0.150947,-0.062323999999999956,0.15737679999999998,False
risk_parity_spy_tlt_gld,1.1845184,-0.12385579999999999,0.138384,-0.324299,-0.1593046,0.5115024,61.0,-0.1559132,0.14856700000000003,-0.09640259999999996,0.1972234,False
lab_winners_blend,1.8287846,-0.09791240000000001,0.1245236,-0.38875040000000005,-0.1559982,0.5052534,61.0,0.48835300000000004,0.1745104,-0.160854,0.20052979999999998,False
spy_tlt_60_40,0.8355392,-0.23533619999999997,0.195355,-0.6297341999999999,-0.2320468,0.491568,0.0,-0.5048924,0.03708660000000001,-0.40183779999999986,0.12448119999999999,True
