strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
sma200_monthly_spy,22.236305,0.099714,0.125539,0.794288,-0.255102,0.549358,41.0,-4.050410999999997,-0.005352999999999997,0.22933899999999996,0.29684499999999997,False
mom_ensemble_spy,17.509563,0.092183,0.1213,0.759956,-0.268176,0.546486,116.0,-8.777152999999998,-0.012883999999999993,0.19500699999999993,0.28377099999999994,False
vol_target_spy_15,29.103956,0.108352,0.153022,0.708083,-0.47243,0.540209,6118.0,2.8172400000000017,0.00328500000000001,0.14313399999999998,0.07951699999999995,False
tsmom_12_1_spy,24.988717,0.10344,0.146634,0.705434,-0.337182,0.54891,25.0,-1.2979989999999972,-0.0016269999999999896,0.14048499999999997,0.21476499999999998,False
golden_cross_spy,18.427729,0.093782,0.136422,0.687439,-0.337182,0.549048,31.0,-7.858986999999999,-0.01128499999999999,0.12248999999999999,0.21476499999999998,False
target_dd_guard_spy,13.248032,0.083582,0.127282,0.656664,-0.275469,0.542882,148.0,-13.038683999999998,-0.02148499999999999,0.09171499999999999,0.27647799999999995,False
vix_regime_spy,7.690743,0.067516,0.107815,0.626221,-0.369497,0.540392,242.0,-18.595972999999997,-0.03755099999999999,0.06127199999999999,0.18244999999999995,False
composite_regime_spy,7.924724,0.068373,0.10984,0.622479,-0.35993,0.541575,684.0,-18.361991999999997,-0.03669399999999999,0.05752999999999997,0.19201699999999994,False
buy_and_hold,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,1.0,0.0,0.0,0.0,0.0,True
buy_hold_spy,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,0.0,0.0,0.0,0.0,0.0,True
equal_weight_buy_hold,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,0.0,0.0,0.0,0.0,0.0,True
vix_spike_buyer,30.96652,0.110365,0.217024,0.508535,-0.667609,0.540233,37.0,4.679804000000001,0.005298000000000011,-0.056414000000000075,-0.11566200000000004,False
donchian_55_20_spy,2.202633,0.035796,0.088614,0.403957,-0.349033,0.540073,202.0,-24.084083,-0.069271,-0.16099200000000002,0.20291399999999998,False
