strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,is_baseline,baseline_total_return,excess_total_return,baseline_annualized_return,excess_annualized_return,baseline_sharpe,excess_sharpe,baseline_max_drawdown,excess_max_drawdown
buy_and_hold,XLB,full_sample,6850,1,7.445993,0.081658,0.236205,0.345708,-0.598209,0.510731,True,7.445993,0.0,0.081658,0.0,0.345708,0.0,-0.598209,0.0
buy_and_hold,XLB,gfc_bear,355,1,-0.564138,-0.445389,0.442254,-1.007089,-0.598209,0.477401,True,-0.564138,0.0,-0.445389,0.0,-1.007089,0.0,-0.598209,0.0
buy_and_hold,XLB,inflation_bear_2022,196,1,-0.221009,-0.27466,0.246302,-1.115137,-0.247076,0.446154,True,-0.221009,0.0,-0.27466,0.0,-1.115137,0.0,-0.247076,0.0
buy_and_hold,XLE,full_sample,6850,1,9.126516,0.088903,0.286336,0.310485,-0.712477,0.51263,True,9.126516,0.0,0.088903,0.0,0.310485,0.0,-0.712477,0.0
buy_and_hold,XLE,gfc_bear,355,1,-0.48561,-0.376181,0.562017,-0.669341,-0.573745,0.522599,True,-0.48561,0.0,-0.376181,0.0,-0.669341,0.0,-0.573745,0.0
buy_and_hold,XLE,inflation_bear_2022,196,1,0.444937,0.605167,0.363986,1.66261,-0.260406,0.548718,True,0.444937,0.0,0.605167,0.0,1.66261,0.0,-0.260406,0.0
buy_and_hold,XLF,full_sample,6850,1,3.364528,0.055704,0.284117,0.196061,-0.82686,0.507373,True,3.364528,0.0,0.055704,0.0,0.196061,0.0,-0.82686,0.0
buy_and_hold,XLF,gfc_bear,355,1,-0.814448,-0.697509,0.702405,-0.993029,-0.817103,0.40678,True,-0.814448,0.0,-0.697509,0.0,-0.993029,0.0,-0.817103,0.0
buy_and_hold,XLF,inflation_bear_2022,196,1,-0.222764,-0.27676,0.245423,-1.127687,-0.258148,0.420513,True,-0.222764,0.0,-0.27676,0.0,-1.127687,0.0,-0.258148,0.0
buy_and_hold,XLI,full_sample,6850,1,10.415342,0.093713,0.210912,0.444322,-0.622442,0.532633,True,10.415342,0.0,0.093713,0.0,0.444322,0.0,-0.622442,0.0
buy_and_hold,XLI,gfc_bear,355,1,-0.618276,-0.495221,0.36418,-1.359825,-0.618276,0.483051,True,-0.618276,0.0,-0.495221,0.0,-1.359825,0.0,-0.618276,0.0
buy_and_hold,XLI,inflation_bear_2022,196,1,-0.182113,-0.227767,0.217873,-1.045414,-0.216439,0.461538,True,-0.182113,0.0,-0.227767,0.0,-1.045414,0.0,-0.216439,0.0
buy_and_hold,XLK,full_sample,6850,1,10.554439,0.0942,0.259173,0.363465,-0.820641,0.531172,True,10.554439,0.0,0.0942,0.0,0.363465,0.0,-0.820641,0.0
buy_and_hold,XLK,gfc_bear,355,1,-0.515235,-0.401904,0.380337,-1.056704,-0.530207,0.460452,True,-0.515235,0.0,-0.401904,0.0,-1.056704,0.0,-0.530207,0.0
buy_and_hold,XLK,inflation_bear_2022,196,1,-0.331256,-0.403879,0.319812,-1.262866,-0.331256,0.446154,True,-0.331256,0.0,-0.403879,0.0,-1.262866,0.0,-0.331256,0.0
buy_and_hold,XLP,full_sample,6850,1,4.877667,0.067328,0.152189,0.442394,-0.359024,0.515112,True,4.877667,0.0,0.067328,0.0,0.442394,0.0,-0.359024,0.0
buy_and_hold,XLP,gfc_bear,355,1,-0.288205,-0.214415,0.226078,-0.948411,-0.323951,0.485876,True,-0.288205,0.0,-0.214415,0.0,-0.948411,0.0,-0.323951,0.0
buy_and_hold,XLP,inflation_bear_2022,196,1,-0.10619,-0.134403,0.179102,-0.75043,-0.163002,0.517949,True,-0.10619,0.0,-0.134403,0.0,-0.75043,0.0,-0.163002,0.0
buy_and_hold,XLU,full_sample,6850,1,6.960818,0.079306,0.192864,0.411203,-0.523207,0.517886,True,6.960818,0.0,0.079306,0.0,0.411203,0.0,-0.523207,0.0
buy_and_hold,XLU,gfc_bear,355,1,-0.420907,-0.321445,0.332652,-0.96631,-0.464957,0.474576,True,-0.420907,0.0,-0.321445,0.0,-0.96631,0.0,-0.464957,0.0
buy_and_hold,XLU,inflation_bear_2022,196,1,-0.113165,-0.14308,0.209494,-0.682976,-0.207182,0.512821,True,-0.113165,0.0,-0.14308,0.0,-0.682976,0.0,-0.207182,0.0
buy_and_hold,XLV,full_sample,6850,1,7.727165,0.082962,0.178531,0.464691,-0.391726,0.519054,True,7.727165,0.0,0.082962,0.0,0.464691,0.0,-0.391726,0.0
buy_and_hold,XLV,gfc_bear,355,1,-0.384151,-0.291147,0.277142,-1.050534,-0.391726,0.466102,True,-0.384151,0.0,-0.291147,0.0,-1.050534,0.0,-0.391726,0.0
buy_and_hold,XLV,inflation_bear_2022,196,1,-0.115814,-0.146369,0.194196,-0.753719,-0.160608,0.482051,True,-0.115814,0.0,-0.146369,0.0,-0.753719,0.0,-0.160608,0.0
buy_and_hold,XLY,full_sample,6850,1,10.762766,0.09492,0.22678,0.418553,-0.59068,0.524456,True,10.762766,0.0,0.09492,0.0,0.418553,0.0,-0.59068,0.0
buy_and_hold,XLY,gfc_bear,355,1,-0.564051,-0.44531,0.406281,-1.096065,-0.564343,0.435028,True,-0.564051,0.0,-0.44531,0.0,-1.096065,0.0,-0.564343,0.0
buy_and_hold,XLY,inflation_bear_2022,196,1,-0.33517,-0.408362,0.34922,-1.169354,-0.358886,0.466667,True,-0.33517,0.0,-0.408362,0.0,-1.169354,0.0,-0.358886,0.0
buy_and_hold,EWA,full_sample,7549,1,8.302326,0.077292,0.262277,0.294696,-0.669565,0.491123,True,8.302326,0.0,0.077292,0.0,0.294696,0.0,-0.669565,0.0
buy_and_hold,EWA,gfc_bear,355,1,-0.644163,-0.519768,0.55497,-0.936568,-0.669565,0.474576,True,-0.644163,0.0,-0.519768,0.0,-0.936568,0.0,-0.669565,0.0
buy_and_hold,EWA,inflation_bear_2022,196,1,-0.186178,-0.232698,0.238932,-0.973906,-0.247064,0.446154,True,-0.186178,0.0,-0.232698,0.0,-0.973906,0.0,-0.247064,0.0
buy_and_hold,TLT,full_sample,5947,1,1.389667,0.037604,0.143395,0.262243,-0.483506,0.520854,True,1.389667,0.0,0.037604,0.0,0.262243,0.0,-0.483506,0.0
buy_and_hold,TLT,gfc_bear,355,1,0.25,0.171635,0.176353,0.973247,-0.161916,0.508475,True,0.25,0.0,0.171635,0.0,0.973247,0.0,-0.161916,0.0
buy_and_hold,TLT,inflation_bear_2022,196,1,-0.293328,-0.360063,0.194814,-1.848244,-0.299839,0.466667,True,-0.293328,0.0,-0.360063,0.0,-1.848244,0.0,-0.299839,0.0
buy_and_hold,GLD,full_sample,5365,1,9.021181,0.114331,0.180095,0.634839,-0.45555,0.532252,True,9.021181,0.0,0.114331,0.0,0.634839,0.0,-0.45555,0.0
buy_and_hold,GLD,gfc_bear,355,1,0.234597,0.161368,0.309196,0.521896,-0.294141,0.519774,True,0.234597,0.0,0.161368,0.0,0.521896,0.0,-0.294141,0.0
buy_and_hold,GLD,inflation_bear_2022,196,1,-0.073308,-0.093249,0.147046,-0.634148,-0.210328,0.502564,True,-0.073308,0.0,-0.093249,0.0,-0.634148,0.0,-0.210328,0.0
buy_and_hold,SPY,full_sample,8340,1,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
buy_and_hold,SPY,gfc_bear,355,1,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,True,-0.551182,0.0,-0.433736,0.0,-1.138814,0.0,-0.551504,0.0
buy_and_hold,SPY,inflation_bear_2022,196,1,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,True,-0.244977,0.0,-0.303226,0.0,-1.258459,0.0,-0.244977,0.0
low_vol_sector_basket,PORTFOLIO,full_sample,5365,254,6.656382,0.100332,0.170875,0.587163,-0.491354,0.553625,False,7.250343,-0.5939610000000002,0.1042,-0.0038679999999999964,0.549804,0.03735900000000003,-0.551947,0.06059299999999995
canary_daa_low_vol_sleeve,PORTFOLIO,full_sample,5365,505,9.312747,0.115833,0.117965,0.981932,-0.26447,0.560738,False,7.250343,2.062404,0.1042,0.011633000000000004,0.549804,0.43212800000000007,-0.551947,0.287477
canary_daa_smart_defense,PORTFOLIO,full_sample,5365,180,7.650407,0.106659,0.135165,0.789096,-0.269,0.555075,False,7.250343,0.4000640000000004,0.1042,0.002459000000000003,0.549804,0.23929200000000006,-0.551947,0.28294699999999995
buy_hold_spy,PORTFOLIO,full_sample,5365,1,7.250343,0.1042,0.189522,0.549804,-0.551947,0.550708,True,7.250343,0.0,0.1042,0.0,0.549804,0.0,-0.551947,0.0
equal_weight_buy_hold,PORTFOLIO,full_sample,5365,1,7.041878,0.102873,0.157364,0.653729,-0.453273,0.549963,True,7.250343,-0.20846500000000034,0.1042,-0.0013269999999999949,0.549804,0.10392500000000005,-0.551947,0.09867399999999998
spy_tlt_60_40,PORTFOLIO,full_sample,5365,1,4.605073,0.084331,0.110925,0.760251,-0.299265,0.552946,True,7.250343,-2.64527,0.1042,-0.019868999999999998,0.549804,0.21044700000000005,-0.551947,0.25268199999999996
low_vol_sector_basket,PORTFOLIO,gfc_bear,355,18,-0.490634,-0.380512,0.323868,-1.174899,-0.491354,0.49435,False,-0.551182,0.060547999999999935,-0.433736,0.053223999999999994,-1.138814,-0.03608499999999992,-0.551504,0.06014999999999998
canary_daa_low_vol_sleeve,PORTFOLIO,gfc_bear,355,43,-0.120706,-0.087268,0.187696,-0.464945,-0.26447,0.51567,False,-0.551182,0.43047599999999997,-0.433736,0.346468,-1.138814,0.673869,-0.551504,0.287034
canary_daa_smart_defense,PORTFOLIO,gfc_bear,355,14,-0.084059,-0.060426,0.208756,-0.289455,-0.267507,0.486567,False,-0.551182,0.46712299999999995,-0.433736,0.37331000000000003,-1.138814,0.849359,-0.551504,0.283997
buy_hold_spy,PORTFOLIO,gfc_bear,355,1,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,True,-0.551182,0.0,-0.433736,0.0,-1.138814,0.0,-0.551504,0.0
equal_weight_buy_hold,PORTFOLIO,gfc_bear,355,1,-0.448854,-0.344858,0.309568,-1.113996,-0.453273,0.485876,True,-0.551182,0.10232799999999997,-0.433736,0.08887800000000001,-1.138814,0.024818000000000007,-0.551504,0.09823100000000001
spy_tlt_60_40,PORTFOLIO,gfc_bear,355,1,-0.295722,-0.220314,0.204668,-1.076446,-0.299265,0.463277,True,-0.551182,0.25545999999999996,-0.433736,0.213422,-1.138814,0.06236799999999998,-0.551504,0.252239
low_vol_sector_basket,PORTFOLIO,inflation_bear_2022,196,10,-0.144574,-0.1819,0.196933,-0.923665,-0.164316,0.45641,False,-0.244977,0.10040299999999999,-0.303226,0.12132599999999999,-1.258459,0.33479400000000004,-0.244977,0.08066100000000001
canary_daa_low_vol_sleeve,PORTFOLIO,inflation_bear_2022,196,36,-0.085536,-0.108603,0.093712,-1.158903,-0.152917,0.472868,False,-0.244977,0.159441,-0.303226,0.194623,-1.258459,0.09955599999999998,-0.244977,0.09206
canary_daa_smart_defense,PORTFOLIO,inflation_bear_2022,196,8,-0.066162,-0.084248,0.125491,-0.67135,-0.168078,0.511811,False,-0.244977,0.178815,-0.303226,0.218978,-1.258459,0.587109,-0.244977,0.076899
buy_hold_spy,PORTFOLIO,inflation_bear_2022,196,1,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,True,-0.244977,0.0,-0.303226,0.0,-1.258459,0.0,-0.244977,0.0
equal_weight_buy_hold,PORTFOLIO,inflation_bear_2022,196,1,-0.159567,-0.20029,0.181809,-1.101654,-0.177527,0.45641,True,-0.244977,0.08541000000000001,-0.303226,0.102936,-1.258459,0.15680500000000008,-0.244977,0.06745000000000001
spy_tlt_60_40,PORTFOLIO,inflation_bear_2022,196,1,-0.258278,-0.318969,0.166579,-1.914819,-0.258278,0.446154,True,-0.244977,-0.013301000000000007,-0.303226,-0.015743000000000007,-1.258459,-0.65636,-0.244977,-0.013301000000000007
