strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,is_baseline,baseline_total_return,excess_total_return,baseline_annualized_return,excess_annualized_return,baseline_sharpe,excess_sharpe,baseline_max_drawdown,excess_max_drawdown
buy_and_hold,XLB,full_sample,6850,1,7.445993,0.081658,0.236205,0.345708,-0.598209,0.510731,True,7.445993,0.0,0.081658,0.0,0.345708,0.0,-0.598209,0.0
buy_and_hold,XLE,full_sample,6850,1,9.126516,0.088903,0.286336,0.310485,-0.712477,0.51263,True,9.126516,0.0,0.088903,0.0,0.310485,0.0,-0.712477,0.0
buy_and_hold,XLF,full_sample,6850,1,3.364528,0.055704,0.284117,0.196061,-0.82686,0.507373,True,3.364528,0.0,0.055704,0.0,0.196061,0.0,-0.82686,0.0
buy_and_hold,XLI,full_sample,6850,1,10.415342,0.093713,0.210912,0.444322,-0.622442,0.532633,True,10.415342,0.0,0.093713,0.0,0.444322,0.0,-0.622442,0.0
buy_and_hold,XLK,full_sample,6850,1,10.554439,0.0942,0.259173,0.363465,-0.820641,0.531172,True,10.554439,0.0,0.0942,0.0,0.363465,0.0,-0.820641,0.0
buy_and_hold,XLP,full_sample,6850,1,4.877667,0.067328,0.152189,0.442394,-0.359024,0.515112,True,4.877667,0.0,0.067328,0.0,0.442394,0.0,-0.359024,0.0
buy_and_hold,XLU,full_sample,6850,1,6.960818,0.079306,0.192864,0.411203,-0.523207,0.517886,True,6.960818,0.0,0.079306,0.0,0.411203,0.0,-0.523207,0.0
buy_and_hold,XLV,full_sample,6850,1,7.727165,0.082962,0.178531,0.464691,-0.391726,0.519054,True,7.727165,0.0,0.082962,0.0,0.464691,0.0,-0.391726,0.0
buy_and_hold,XLY,full_sample,6850,1,10.762766,0.09492,0.22678,0.418553,-0.59068,0.524456,True,10.762766,0.0,0.09492,0.0,0.418553,0.0,-0.59068,0.0
low_vol_sector_basket,PORTFOLIO,full_sample,6850,325,8.887388,0.087946,0.170496,0.515825,-0.491354,0.548658,False,10.102931,-1.2155430000000003,0.092597,-0.004651000000000002,0.50876,0.007064999999999988,-0.525271,0.03391700000000003
equal_weight_buy_hold,PORTFOLIO,full_sample,6850,1,10.102931,0.092597,0.182005,0.50876,-0.525271,0.547817,True,10.102931,0.0,0.092597,0.0,0.50876,0.0,-0.525271,0.0
