period,strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
covid_crash,yield_curve_regime_spy,-0.324647,-0.98644,0.74927,-1.316536,-0.324647,0.272727,3.0,0.009808999999999957,0.0020090000000000385,0.0007050000000001777,0.009808999999999957,False
covid_crash,buy_and_hold,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,1.0,0.0,0.0,0.0,0.0,True
covid_crash,buy_hold_spy,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,1.0,0.0,0.0,0.0,0.0,True
covid_crash,equal_weight_buy_hold,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,1.0,0.0,0.0,0.0,0.0,True
covid_crash,macro_composite_spy,-0.169333,-0.869021,0.284621,-3.053257,-0.169333,0.285714,7.0,0.16512299999999996,0.11942799999999998,-1.7360159999999998,0.16512299999999996,False
covid_crash,credit_stress_overlay_spy,-0.112079,-0.72813,0.192594,-3.780643,-0.112079,0.0,4.0,0.222377,0.26031899999999997,-2.463402,0.222377,False
covid_crash,sma200_monthly_spy,-0.12077,-0.755904,0.195168,-3.873094,-0.12077,0.0,2.0,0.213686,0.232545,-2.555853,0.213686,False
covid_crash,vix_term_structure_spy,-0.075525,-0.577013,0.143424,-4.023135,-0.075525,0.0,2.0,0.25893099999999997,0.411436,-2.705894,0.25893099999999997,False
full_sample,sma200_monthly_spy,22.236305,0.099714,0.125539,0.794288,-0.255102,0.549358,41.0,-4.050410999999997,-0.005352999999999997,0.22933899999999996,0.29684499999999997,False
full_sample,vix_term_structure_spy,22.522884,0.100122,0.155048,0.645747,-0.47515,0.539382,101.0,-3.763831999999997,-0.004944999999999991,0.08079799999999993,0.07679699999999995,False
full_sample,macro_composite_spy,17.586681,0.09232,0.152282,0.606247,-0.462599,0.540187,347.0,-8.700035,-0.012746999999999994,0.041297999999999946,0.08934799999999998,False
full_sample,buy_and_hold,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,1.0,0.0,0.0,0.0,0.0,True
full_sample,buy_hold_spy,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,1.0,0.0,0.0,0.0,0.0,True
full_sample,equal_weight_buy_hold,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,1.0,0.0,0.0,0.0,0.0,True
full_sample,credit_stress_overlay_spy,13.972927,0.085208,0.153236,0.556054,-0.47515,0.538607,247.0,-12.313788999999998,-0.019858999999999988,-0.008894999999999986,0.07679699999999995,False
full_sample,yield_curve_regime_spy,19.68678,0.095859,0.181291,0.528759,-0.551947,0.540233,11.0,-6.599936,-0.009207999999999994,-0.036190000000000055,0.0,False
gfc_bear,sma200_monthly_spy,-0.059135,-0.042347,0.081796,-0.517718,-0.098339,0.482143,2.0,0.49204699999999996,0.391389,0.621096,0.453165,False
gfc_bear,buy_and_hold,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,buy_hold_spy,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,equal_weight_buy_hold,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,yield_curve_regime_spy,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,1.0,0.0,0.0,0.0,0.0,False
gfc_bear,vix_term_structure_spy,-0.283611,-0.21082,0.172033,-1.225462,-0.314417,0.490385,18.0,0.26757099999999995,0.222916,-0.08664800000000006,0.237087,False
gfc_bear,macro_composite_spy,-0.431511,-0.330289,0.207097,-1.594851,-0.43192,0.488701,46.0,0.11967099999999997,0.10344700000000001,-0.456037,0.11958399999999997,False
gfc_bear,credit_stress_overlay_spy,-0.463032,-0.356866,0.205217,-1.73897,-0.463417,0.480226,31.0,0.08814999999999995,0.07687,-0.6001559999999999,0.08808699999999997,False
inflation_bear_2022,buy_and_hold,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,buy_hold_spy,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,equal_weight_buy_hold,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,yield_curve_regime_spy,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,1.0,0.0,0.0,0.0,0.0,False
inflation_bear_2022,vix_term_structure_spy,-0.251277,-0.310692,0.236767,-1.312228,-0.251277,0.431579,5.0,-0.006299999999999972,-0.007466000000000028,-0.053768999999999956,-0.006299999999999972,False
inflation_bear_2022,macro_composite_spy,-0.268203,-0.330662,0.235534,-1.403886,-0.268203,0.430769,13.0,-0.023226000000000024,-0.027436000000000016,-0.14542699999999997,-0.023226000000000024,False
inflation_bear_2022,credit_stress_overlay_spy,-0.30753,-0.376551,0.235033,-1.60212,-0.30753,0.414894,9.0,-0.06255300000000003,-0.07332500000000003,-0.343661,-0.06255300000000003,False
inflation_bear_2022,sma200_monthly_spy,-0.166212,-0.20841,0.120575,-1.728477,-0.166212,0.413793,4.0,0.078765,0.09481599999999998,-0.47001800000000005,0.078765,False
