strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,is_baseline,baseline_total_return,excess_total_return,baseline_annualized_return,excess_annualized_return,baseline_sharpe,excess_sharpe,baseline_max_drawdown,excess_max_drawdown
buy_and_hold,SPY,full_sample,8340,1,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
buy_and_hold,SPY,gfc_bear,355,1,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,True,-0.551182,0.0,-0.433736,0.0,-1.138814,0.0,-0.551504,0.0
buy_and_hold,SPY,covid_crash,23,1,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,True,-0.334456,0.0,-0.988449,0.0,-1.317241,0.0,-0.334456,0.0
buy_and_hold,SPY,inflation_bear_2022,196,1,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,True,-0.244977,0.0,-0.303226,0.0,-1.258459,0.0,-0.244977,0.0
trend_plus_vix_term_spy,PORTFOLIO,full_sample,8340,97,16.833317,0.090955,0.118408,0.76815,-0.255102,0.548572,False,26.286716,-9.453398999999997,0.105067,-0.014112,0.564949,0.20320099999999996,-0.551947,0.29684499999999997
sma200_monthly_spy,PORTFOLIO,full_sample,8340,41,22.236305,0.099714,0.125539,0.794288,-0.255102,0.549358,False,26.286716,-4.050410999999997,0.105067,-0.005352999999999997,0.564949,0.22933899999999996,-0.551947,0.29684499999999997
vix_term_structure_spy,PORTFOLIO,full_sample,8340,101,22.522884,0.100122,0.155048,0.645747,-0.47515,0.539382,False,26.286716,-3.763831999999997,0.105067,-0.004944999999999991,0.564949,0.08079799999999993,-0.551947,0.07679699999999995
buy_hold_spy,PORTFOLIO,full_sample,8340,1,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
equal_weight_buy_hold,PORTFOLIO,full_sample,8340,1,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
trend_plus_vix_term_spy,PORTFOLIO,gfc_bear,355,4,-0.017835,-0.012693,0.07212,-0.176005,-0.058759,0.521739,False,-0.551182,0.5333469999999999,-0.433736,0.421043,-1.138814,0.962809,-0.551504,0.492745
sma200_monthly_spy,PORTFOLIO,gfc_bear,355,2,-0.059135,-0.042347,0.081796,-0.517718,-0.098339,0.482143,False,-0.551182,0.49204699999999996,-0.433736,0.391389,-1.138814,0.621096,-0.551504,0.453165
vix_term_structure_spy,PORTFOLIO,gfc_bear,355,18,-0.283611,-0.21082,0.172033,-1.225462,-0.314417,0.490385,False,-0.551182,0.26757099999999995,-0.433736,0.222916,-1.138814,-0.08664800000000006,-0.551504,0.237087
buy_hold_spy,PORTFOLIO,gfc_bear,355,1,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,True,-0.551182,0.0,-0.433736,0.0,-1.138814,0.0,-0.551504,0.0
equal_weight_buy_hold,PORTFOLIO,gfc_bear,355,1,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,True,-0.551182,0.0,-0.433736,0.0,-1.138814,0.0,-0.551504,0.0
trend_plus_vix_term_spy,PORTFOLIO,covid_crash,23,2,-0.075525,-0.577013,0.143424,-4.023135,-0.075525,0.0,False,-0.334456,0.25893099999999997,-0.988449,0.411436,-1.317241,-2.705894,-0.334456,0.25893099999999997
sma200_monthly_spy,PORTFOLIO,covid_crash,23,2,-0.12077,-0.755904,0.195168,-3.873094,-0.12077,0.0,False,-0.334456,0.213686,-0.988449,0.232545,-1.317241,-2.555853,-0.334456,0.213686
vix_term_structure_spy,PORTFOLIO,covid_crash,23,2,-0.075525,-0.577013,0.143424,-4.023135,-0.075525,0.0,False,-0.334456,0.25893099999999997,-0.988449,0.411436,-1.317241,-2.705894,-0.334456,0.25893099999999997
buy_hold_spy,PORTFOLIO,covid_crash,23,1,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,True,-0.334456,0.0,-0.988449,0.0,-1.317241,0.0,-0.334456,0.0
equal_weight_buy_hold,PORTFOLIO,covid_crash,23,1,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,True,-0.334456,0.0,-0.988449,0.0,-1.317241,0.0,-0.334456,0.0
trend_plus_vix_term_spy,PORTFOLIO,inflation_bear_2022,196,4,-0.166212,-0.20841,0.120575,-1.728477,-0.166212,0.413793,False,-0.244977,0.078765,-0.303226,0.09481599999999998,-1.258459,-0.47001800000000005,-0.244977,0.078765
sma200_monthly_spy,PORTFOLIO,inflation_bear_2022,196,4,-0.166212,-0.20841,0.120575,-1.728477,-0.166212,0.413793,False,-0.244977,0.078765,-0.303226,0.09481599999999998,-1.258459,-0.47001800000000005,-0.244977,0.078765
vix_term_structure_spy,PORTFOLIO,inflation_bear_2022,196,5,-0.251277,-0.310692,0.236767,-1.312228,-0.251277,0.431579,False,-0.244977,-0.006299999999999972,-0.303226,-0.007466000000000028,-1.258459,-0.053768999999999956,-0.244977,-0.006299999999999972
buy_hold_spy,PORTFOLIO,inflation_bear_2022,196,1,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,True,-0.244977,0.0,-0.303226,0.0,-1.258459,0.0,-0.244977,0.0
equal_weight_buy_hold,PORTFOLIO,inflation_bear_2022,196,1,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,True,-0.244977,0.0,-0.303226,0.0,-1.258459,0.0,-0.244977,0.0
