period,strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
covid_crash,buy_and_hold,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,1.0,0.0,0.0,0.0,0.0,True
covid_crash,buy_hold_spy,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,1.0,0.0,0.0,0.0,0.0,True
covid_crash,equal_weight_buy_hold,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,1.0,0.0,0.0,0.0,0.0,True
covid_crash,sma200_monthly_spy,-0.12077,-0.755904,0.195168,-3.873094,-0.12077,0.0,2.0,0.213686,0.232545,-2.555853,0.213686,False
covid_crash,trend_plus_vix_term_spy,-0.075525,-0.577013,0.143424,-4.023135,-0.075525,0.0,2.0,0.25893099999999997,0.411436,-2.705894,0.25893099999999997,False
covid_crash,vix_term_structure_spy,-0.075525,-0.577013,0.143424,-4.023135,-0.075525,0.0,2.0,0.25893099999999997,0.411436,-2.705894,0.25893099999999997,False
full_sample,sma200_monthly_spy,22.236305,0.099714,0.125539,0.794288,-0.255102,0.549358,41.0,-4.050410999999997,-0.005352999999999997,0.22933899999999996,0.29684499999999997,False
full_sample,trend_plus_vix_term_spy,16.833317,0.090955,0.118408,0.76815,-0.255102,0.548572,97.0,-9.453398999999997,-0.014112,0.20320099999999996,0.29684499999999997,False
full_sample,vix_term_structure_spy,22.522884,0.100122,0.155048,0.645747,-0.47515,0.539382,101.0,-3.763831999999997,-0.004944999999999991,0.08079799999999993,0.07679699999999995,False
full_sample,buy_and_hold,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,1.0,0.0,0.0,0.0,0.0,True
full_sample,buy_hold_spy,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,1.0,0.0,0.0,0.0,0.0,True
full_sample,equal_weight_buy_hold,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,trend_plus_vix_term_spy,-0.017835,-0.012693,0.07212,-0.176005,-0.058759,0.521739,4.0,0.5333469999999999,0.421043,0.962809,0.492745,False
gfc_bear,sma200_monthly_spy,-0.059135,-0.042347,0.081796,-0.517718,-0.098339,0.482143,2.0,0.49204699999999996,0.391389,0.621096,0.453165,False
gfc_bear,buy_and_hold,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,buy_hold_spy,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,equal_weight_buy_hold,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,vix_term_structure_spy,-0.283611,-0.21082,0.172033,-1.225462,-0.314417,0.490385,18.0,0.26757099999999995,0.222916,-0.08664800000000006,0.237087,False
inflation_bear_2022,buy_and_hold,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,buy_hold_spy,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,equal_weight_buy_hold,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,vix_term_structure_spy,-0.251277,-0.310692,0.236767,-1.312228,-0.251277,0.431579,5.0,-0.006299999999999972,-0.007466000000000028,-0.053768999999999956,-0.006299999999999972,False
inflation_bear_2022,sma200_monthly_spy,-0.166212,-0.20841,0.120575,-1.728477,-0.166212,0.413793,4.0,0.078765,0.09481599999999998,-0.47001800000000005,0.078765,False
inflation_bear_2022,trend_plus_vix_term_spy,-0.166212,-0.20841,0.120575,-1.728477,-0.166212,0.413793,4.0,0.078765,0.09481599999999998,-0.47001800000000005,0.078765,False
