strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,is_baseline,baseline_total_return,excess_total_return,baseline_annualized_return,excess_annualized_return,baseline_sharpe,excess_sharpe,baseline_max_drawdown,excess_max_drawdown
buy_and_hold,SPY,full_sample,8340,1,26.286716,0.105067,0.185975,0.564949,-0.551947,0.540233,True,26.286716,0.0,0.105067,0.0,0.564949,0.0,-0.551947,0.0
buy_and_hold,SPY,inflation_bear_2022,196,1,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,True,-0.244977,0.0,-0.303226,0.0,-1.258459,0.0,-0.244977,0.0
buy_and_hold,SPY,gfc_bear,355,1,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,True,-0.551182,0.0,-0.433736,0.0,-1.138814,0.0,-0.551504,0.0
buy_and_hold,SPY,covid_crash,23,1,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,True,-0.334456,0.0,-0.988449,0.0,-1.317241,0.0,-0.334456,0.0
buy_and_hold,QQQ,full_sample,6798,1,12.793183,0.102166,0.269722,0.378782,-0.829663,0.543475,True,12.793183,0.0,0.102166,0.0,0.378782,0.0,-0.829663,0.0
buy_and_hold,QQQ,inflation_bear_2022,196,1,-0.342856,-0.417141,0.321559,-1.297246,-0.342856,0.441026,True,-0.342856,0.0,-0.417141,0.0,-1.297246,0.0,-0.342856,0.0
buy_and_hold,QQQ,gfc_bear,355,1,-0.51662,-0.403116,0.372999,-1.080745,-0.534009,0.454802,True,-0.51662,0.0,-0.403116,0.0,-1.080745,0.0,-0.534009,0.0
buy_and_hold,QQQ,covid_crash,23,1,-0.272434,-0.969338,0.783783,-1.236743,-0.278923,0.409091,True,-0.272434,0.0,-0.969338,0.0,-1.236743,0.0,-0.278923,0.0
buy_and_hold,TLT,full_sample,5947,1,1.389667,0.037604,0.143395,0.262243,-0.483506,0.520854,True,1.389667,0.0,0.037604,0.0,0.262243,0.0,-0.483506,0.0
buy_and_hold,TLT,inflation_bear_2022,196,1,-0.293328,-0.360063,0.194814,-1.848244,-0.299839,0.466667,True,-0.293328,0.0,-0.360063,0.0,-1.848244,0.0,-0.299839,0.0
buy_and_hold,TLT,gfc_bear,355,1,0.25,0.171635,0.176353,0.973247,-0.161916,0.508475,True,0.25,0.0,0.171635,0.0,0.973247,0.0,-0.161916,0.0
buy_and_hold,TLT,covid_crash,23,1,0.133431,2.944399,0.564436,5.216536,-0.157287,0.636364,True,0.133431,0.0,2.944399,0.0,5.216536,0.0,-0.157287,0.0
