period,strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades,excess_total_return,excess_annualized_return,excess_sharpe,excess_max_drawdown,is_baseline
covid_crash,buy_and_hold,-0.2671514285714286,-0.33781985714285717,0.7801412857142856,-0.20610971428571428,-0.322048,0.3896104285714285,1.0,0.0,0.0,0.0,0.0,True
covid_crash,canary_daa_lite,-0.014208,-0.14511,0.275765,-0.526208,-0.124219,0.545455,0.0,0.320248,0.8433390000000001,0.7910330000000001,0.21023699999999998,False
covid_crash,canary_daa_smart_defense,-0.014208,-0.14511,0.275765,-0.526208,-0.124219,0.545455,0.0,0.320248,0.8433390000000001,0.7910330000000001,0.21023699999999998,False
covid_crash,buy_hold_spy,-0.334456,-0.988449,0.750393,-1.317241,-0.334456,0.272727,0.0,0.0,0.0,0.0,0.0,True
covid_crash,equal_weight_buy_hold,-0.285927,-0.975024,0.581309,-1.677291,-0.285927,0.272727,0.0,0.04852899999999999,0.01342500000000002,-0.36005,0.04852899999999999,True
covid_crash,spy_tlt_60_40,-0.163186,-0.858003,0.388864,-2.206434,-0.177645,0.454545,0.0,0.17126999999999998,0.13044600000000006,-0.8891929999999997,0.15681099999999998,True
full_sample,canary_daa_lite,15.320097,0.140152,0.131682,1.064325,-0.33002,0.552508,183.0,8.069754,0.035952,0.514521,0.22192699999999999,False
full_sample,canary_daa_smart_defense,15.73541,0.141499,0.136811,1.03427,-0.272611,0.562649,193.0,8.485067,0.03729900000000001,0.48446600000000006,0.279336,False
full_sample,spy_tlt_60_40,4.605073,0.084331,0.110925,0.760251,-0.299265,0.552946,0.0,-2.64527,-0.019868999999999998,0.21044700000000005,0.25268199999999996,True
full_sample,equal_weight_buy_hold,7.76921,0.107368,0.143898,0.746137,-0.381482,0.548658,0.0,0.5188670000000002,0.003168000000000004,0.1963330000000001,0.17046499999999998,True
full_sample,buy_hold_spy,7.250343,0.1042,0.189522,0.549804,-0.551947,0.550708,0.0,0.0,0.0,0.0,0.0,True
full_sample,buy_and_hold,10.554343857142857,0.08638128571428572,0.21723771428571428,0.408171,-0.6037021428571429,0.5226361428571428,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,canary_daa_lite,0.065507,0.046071,0.176329,0.261277,-0.205964,0.511299,15.0,0.6166889999999999,0.479807,1.400091,0.34553999999999996,False
gfc_bear,canary_daa_smart_defense,-0.110076,-0.079449,0.192968,-0.411721,-0.271126,0.489552,16.0,0.44110599999999994,0.354287,0.727093,0.280378,False
gfc_bear,buy_and_hold,-0.30484071428571424,-0.24589185714285713,0.38415042857142856,-0.4709478571428572,-0.4642624285714286,0.49192899999999995,1.0,0.0,0.0,0.0,0.0,True
gfc_bear,equal_weight_buy_hold,-0.342243,-0.257234,0.286162,-0.89891,-0.381482,0.49435,0.0,0.20893899999999993,0.176502,0.239904,0.170022,True
gfc_bear,spy_tlt_60_40,-0.295722,-0.220314,0.204668,-1.076446,-0.299265,0.463277,0.0,0.25545999999999996,0.213422,0.06236799999999998,0.252239,True
gfc_bear,buy_hold_spy,-0.551182,-0.433736,0.380866,-1.138814,-0.551504,0.488701,0.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,canary_daa_smart_defense,-0.068468,-0.087155,0.125618,-0.693813,-0.163288,0.503937,7.0,0.176509,0.216071,0.564646,0.08168900000000001,False
inflation_bear_2022,buy_and_hold,-0.11555357142857144,-0.13489857142857145,0.24525442857142857,-0.7189098571428572,-0.2589502857142857,0.47838842857142855,1.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,equal_weight_buy_hold,-0.130823,-0.164953,0.168761,-0.97744,-0.173877,0.507692,0.0,0.114154,0.138273,0.281019,0.0711,True
inflation_bear_2022,buy_hold_spy,-0.244977,-0.303226,0.24095,-1.258459,-0.244977,0.430769,0.0,0.0,0.0,0.0,0.0,True
inflation_bear_2022,canary_daa_lite,-0.231369,-0.287039,0.171237,-1.676263,-0.263303,0.482051,7.0,0.013608000000000009,0.016187000000000007,-0.41780400000000006,-0.01832600000000001,False
inflation_bear_2022,spy_tlt_60_40,-0.258278,-0.318969,0.166579,-1.914819,-0.258278,0.446154,0.0,-0.013301000000000007,-0.015743000000000007,-0.65636,-0.013301000000000007,True
