strategy,stop_loss_pct,total_return,cagr,max_drawdown,sharpe_ratio,total_trades,win_rate,stop_triggers,sma_exits,final_equity,rotation_exits
TQQQ_Momentum,,329.4899390317985,41.388421533728724,-38.02916540928422,0.9935750990554149,7,42.857142857142854,0,7.0,42948.99390317985,
TQQQ_Momentum,3.0,329.4899390317985,41.388421533728724,-38.02916540928422,0.9935750990554149,136,41.911764705882355,136,0.0,42948.99390317985,
TQQQ_Momentum,5.0,329.4899390317985,41.388421533728724,-38.02916540928422,0.9935750990554149,87,43.67816091954023,87,0.0,42948.99390317985,
TQQQ_Momentum,7.000000000000001,329.4899390317985,41.388421533728724,-38.02916540928422,0.9935750990554149,56,42.857142857142854,52,4.0,42948.99390317985,
TQQQ_Momentum,10.0,329.4899390317985,41.388421533728724,-38.02916540928422,0.9935750990554149,34,44.11764705882353,29,5.0,42948.99390317985,
Dual_Momentum,,65.13110777473823,13.369054089939558,-24.838225267911838,0.7541548505617095,8,75.0,0,,16513.110777473823,8.0
Dual_Momentum,5.0,87.84096057726373,17.08316586742187,-12.191055615726535,1.0631814221222016,25,64.0,19,,18784.096057726372,6.0
Dual_Momentum,8.0,68.63405634187949,13.96596761195199,-23.372952686434235,0.8451192230413916,17,58.82352941176471,9,,16863.405634187948,8.0
Dual_Momentum,10.0,68.05067191587895,13.867206459228832,-16.8306005305845,0.818707824375727,15,66.66666666666666,7,,16805.067191587896,8.0
Dual_Momentum,12.0,52.672158863090715,11.165858797984797,-28.481997547025177,0.6679417365146174,13,69.23076923076923,5,,15267.215886309072,8.0
